Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Walker Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klamath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139810016000,,,33S-7W-31 / 42.6590 -123.5729,,,G,S,,,,,,,,,,,RIGHT AWAY,100,100,,,0,0,,,0,11/13/2014,07:00
164060120011,,,250S-070E-21 / 43.3923 -121.8933,,,G,U,,DESCHUTES NF - CRESCENT RD,,,,,,,,,Bugs 30 2 55,124,950,,,0,0,,,0,10/21/2016,09:00
164060120011,,,250S-070E-21 / 43.3923 -121.8933,,,G,U,,DESCHUTES NF - CRESCENT RD,,,,,,,,,Bugs 30 2 55,96,1320,,,0,0,,,0,10/25/2016,10:00
194060120024,,,25S-8E-32 / 43.3633 -121.7941,,,H,U,,DESCHUTES NF - CRESCENT RD,,,,,,,,,Plucker LP Salvage 33A Piles,14,28,,,,,,,,10/28/2021,10:13
County Total:,,,,,,,,,,,,,,,,,,,334,2398,,,,,,,,,
Walker Range District Total:,,,,,,,,,,,,,,,,,,,334,2398,,,,,,,,,
