Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Umatilla NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214061420024,,,7S-25E-36 / 44.9190 -119.6720,,,L,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Whiskey TS54,63,406,,,,,,,,11/17/2021,11:00
County Total:,,,,,,,,,,,,,,,,,,,63,406,,,,,,,,,
Coos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224061420018,,,7S-25E-17 / 44.9588 -119.7654,,,T,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Henry 19,4,668,,,,,,,,12/1/2022,12:00
County Total:,,,,,,,,,,,,,,,,,,,4,668,,,,,,,,,
Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124061450002,,,7S-31E-16 / 44.9607 -118.9920,,,L,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,POWERLINE           ,100,380,,,0,0,,,7,1/4/2012,12:00
134061420002,,,7S-26E-11 / 44.9740 -119.5830,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,RIMROCK-NFR-5       ,700,5600,,,7,23,,,10,5/1/2013,10:00
134061420002,,,7S-26E-11 / 44.9740 -119.5830,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,RIMROCK-NFR-5       ,700,5600,,,7,23,,,10,5/1/2013,10:00
134061420002,,,7S-26E-11 / 44.9740 -119.5830,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,RIMROCK-NFR-5       ,1900,15200,,,6,23,,,11,5/2/2013,10:00
134061420002,,,7S-26E-11 / 44.9740 -119.5830,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,RIMROCK-NFR-5       ,50,200,,,10,15,,,5,4/26/2013,10:00
134061420003,,,7S-26E-12 / 44.9740 -119.5630,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,RIMROCK-NFR-3       ,1200,9600,,,7,23,,,10,5/1/2013,11:00
134061420017,,,7S-27E-3 / 44.9895 -119.4830,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,SUN-BACON-NFR-5     ,60,600,,,3,11,,,73,9/23/2015,11:00
134061420017,,,7S-27E-3 / 44.9895 -119.4830,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,SUN-BACON-NFR-5     ,94,1880,,,6,21,,,4,5/15/2014,10:00
134061420028,,,7S-27E-4 / 44.9895 -119.5030,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,SUN-BACON-NFR-16    ,50,1000,,,6,16,,,29,5/9/2015,11:00
134061420028,,,7S-27E-4 / 44.9895 -119.5030,,,N,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,SUN-BACON-NFR-16    ,30,600,,,6,18,,,30,5/10/2015,11:00
144061450002,,,7S-31E-20 / 44.9460 -119.0130,,,F,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,MEADOWBROOK-FTO     ,20,160,,,6,13,,,6,9/28/2016,10:00
144061450002,,,7S-31E-20 / 44.9460 -119.0130,,,F,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,MEADOWBROOK-FTO     ,500,4000,,,6,13,,,7,9/29/2016,10:00
144061450002,,,7S-31E-20 / 44.9460 -119.0130,,,F,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,MEADOWBROOK-FTO     ,50,400,,,6,13,,,5,9/27/2016,10:00
144061450002,,,7S-31E-20 / 44.9460 -119.0130,,,F,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,MEADOWBROOK-FTO     ,180,1440,,,7,13,,,29,10/5/2015,10:00
144061450002,,,7S-31E-20 / 44.9460 -119.0130,,,F,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,MEADOWBROOK-FTO     ,150,1200,,,5,13,,,30,10/6/2015,13:00
144061450002,,,7S-31E-20 / 44.9460 -119.0130,,,F,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,MEADOWBROOK-FTO     ,200,1600,,,6,13,,,7,9/30/2016,11:00
144061450010,,,9S-34E-10 / 44.8007 -118.6060,,,H,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,CHROME-18           ,1,8,,,0,0,,,0,11/3/2014,10:00
154061420002,,,080S-270E-04 / 44.9038 -119.5025,,,H,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Sunflower Roadside Piles,1,1,,,0,0,,,12,4/5/2016,10:00
154061420002,,,080S-270E-04 / 44.9038 -119.5025,,,H,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Sunflower Roadside Piles,5,5,,,0,0,,,0,10/6/2016,11:00
154061420002,,,080S-270E-04 / 44.9038 -119.5025,,,H,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Sunflower Roadside Piles,3,2,,,0,0,,,0,10/19/2017,10:00
154061420002,,,080S-270E-04 / 44.9038 -119.5025,,,H,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Sunflower Roadside Piles,10,2,,,0,0,,,0,11/7/2017,09:00
164061450004,,,8S-32E-7 / 44.8890 -118.9110,,,L,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,MIRAGE-2016         ,25,25,,,0,0,,,0,10/28/2016,10:00
164061420028,,,070S-260E-07 / 44.9734 -119.6616,,,H,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Bull Prairie,2,4,,,0,0,,,0,10/19/2017,09:00
164061450005,,,080S-320E-07 / 44.8888 -118.9105,,,H,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Mirage 2016 hand piles,5,8,,,0,0,,,0,11/15/2016,09:00
164061450005,,,080S-320E-07 / 44.8888 -118.9105,,,H,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Mirage 2016 hand piles,15,15,,,0,0,,,0,10/31/2016,10:00
164061450005,,,080S-320E-07 / 44.8888 -118.9105,,,H,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Mirage 2016 hand piles,1,1,,,0,0,,,0,11/16/2017,09:00
174061420006,,,070S-260E-35 / 44.9169 -119.5830,,,H,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Happy Jack,52,547,,,0,0,,,0,11/14/2018,10:00
174061420007,,,080S-260E-16 / 44.8737 -119.6233,,,H,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Putnam 2,20,257,,,0,0,,,0,11/6/2018,09:00
174061420008,,,080S-260E-15 / 44.8736 -119.6030,,,H,U,,UMATILLA NF - HEPPNER RD,,,,,,,,,Putnam 3,20,263,,,0,0,,,0,11/7/2018,11:00
184061450001,,,7S-31E-20 / 44.9460 -119.0114,,,U,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Meadowbrook FTO,160,160,,,12,18,,,8,2/8/2018,09:00
184061450001,,,7S-31E-20 / 44.9460 -119.0114,,,U,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Meadowbrook FTO,225,3375,,,10,15,,,7,10/18/2018,10:00
184061450001,,,7S-31E-20 / 44.9460 -119.0114,,,U,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Meadowbrook FTO,300,5400,,,10,15,,,8,10/19/2018,11:30
184061450001,,,7S-31E-20 / 44.9460 -119.0114,,,U,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Meadowbrook FTO,175,3150,,,8,11,,,10,10/21/2015,11:00
184061450001,,,7S-31E-20 / 44.9460 -119.0114,,,U,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Meadowbrook FTO,400,2800,,,7,15,,,15,11/5/2019,10:00
184061450001,,,7S-31E-20 / 44.9460 -119.0114,,,U,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,Meadowbrook FTO,450,8100,,,9,20,,,18,11/6/2019,11:00
184061450002,,,8S-31E-07 / 44.8878 -119.0321,,,N,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,FTJ,0,0,,,12,18,,,0,9/19/2018,10:00
184061450002,,,8S-31E-07 / 44.8878 -119.0321,,,N,U,,UMATILLA NF - N FORK JOHN DAY RD,,,,,,,,,FTJ,0,0,,,0,0,,,0,10/4/2018,10:00
