Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Wallowa-Whitman NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121660001101,,,6S-42E-26 / 45.0145 -117.5330,,,U,U,,WALLOWA-WHITMAN NF - LA GRANDE RD,,,,,,,,,SMITH-50            ,40,600,,,8,30,,,7,5/15/2012,10:00
121660001101,,,6S-42E-26 / 45.0145 -117.5330,,,U,U,,WALLOWA-WHITMAN NF - LA GRANDE RD,,,,,,,,,SMITH-50            ,10,150,,,6,29,,,14,5/16/2012,11:00
121660001102,,,6S-42E-35 / 45.0001 -117.5330,,,U,U,,WALLOWA-WHITMAN NF - LA GRANDE RD,,,,,,,,,SMITH-62            ,10,150,,,7,30,,,7,5/15/2012,10:00
124061660004,,,6S-42E-16 / 45.0433 -117.5740,,,N,U,,WALLOWA-WHITMAN NF - LA GRANDE RD,,,,,,,,,COLD-ANGEL-14       ,20,320,,,6,29,,,14,5/16/2012,11:00
124061630001,,,12S-36E-10 / 44.5388 -118.2830,,,N,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-302-1-RX     ,250,1750,,,8,12,,,2,10/18/2012,11:00
124061630001,,,12S-36E-10 / 44.5388 -118.2830,,,N,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-302-1-RX     ,50,350,,,12,18,,,17,10/27/2013,11:00
124061630001,,,12S-36E-10 / 44.5388 -118.2830,,,N,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-302-1-RX     ,75,525,,,10,16,,,16,10/26/2013,11:00
124061630002,,,12S-36E-10 / 44.5388 -118.2830,,,N,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-302-2-RX     ,80,560,,,12,20,,,5,11/13/2013,11:00
124061630003,,,12S-36E-13 / 44.5242 -118.2430,,,U,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-401-RX       ,200,1000,,,10,20,,,21,10/19/2014,10:00
124061630004,,,12S-36E-14 / 44.5243 -118.2630,,,U,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-402-RX       ,100,600,,,10,11,,,21,10/20/2014,10:00
124061630004,,,12S-36E-14 / 44.5243 -118.2630,,,U,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-402-RX       ,50,250,,,10,20,,,21,10/18/2014,12:00
124061630004,,,12S-36E-14 / 44.5243 -118.2630,,,U,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-402-RX       ,75,450,,,11,20,,,21,10/21/2014,11:00
124061630004,,,12S-36E-14 / 44.5243 -118.2630,,,U,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,BROMAN-402-RX       ,25,125,,,10,20,,,21,10/19/2014,10:00
124061630008,,,7S-46E-4 / 44.9864 -117.0930,,,N,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,EAST-PINE-EMB4-RX   ,150,750,,,11,18,,,7,10/18/2013,11:00
124061630009,,,7S-46E-17 / 44.9575 -117.1140,,,N,U,,WALLOWA-WHITMAN NF - WHITMAN RD,,,,,,,,,EAST-PINE-EMB1-RX   ,40,200,,,16,20,,,4,4/3/2012,12:00
