Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Tillamook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillamook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125110020301,,,3N-9W-21 / 45.7310 -123.7910,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,WATERHOUSE,100,105,,,0,0,,,0,10/30/2012,10:00
125110020302,,,3N-9W-35 / 45.7035 -123.7500,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,MCPHERSON RIDGE A-3,100,750,,,0,0,,,0,10/29/2012,12:00
125110020303,,,1N-7W-36 / 45.5281 -123.4950,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,JORDAN BOUND A-4,100,260,,,0,0,,,0,11/5/2013,10:00
125110020304,,,2N-9W-1 / 45.6849 -123.7320,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,CLAMSON,60,670,,,0,0,,,0,11/6/2012,11:00
125110020305,,,3N-7W-28 / 45.7119 -123.5550,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,CLAY TUNNEL,20,50,,,0,0,,,0,11/8/2012,11:00
125110020306,,,1N-7W-25 / 45.5420 -123.4940,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,JORDAN BOUND A-3,100,133,,,0,0,,,0,11/5/2013,10:00
125110020307,,,3N-9W-15 / 45.7456 -123.7700,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,FALL RIDGE,100,490,,,0,0,,,0,11/26/2012,11:00
125110031701,,,1N-6W-30 / 45.5426 -123.4740,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,JORDAN BOUND A-2,100,180,,,0,0,,,0,11/5/2013,10:00
125110031702,,,1N-6W-19 / 45.5569 -123.4740,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,JORDAN BOUND A-1,90,91,,,0,0,,,0,11/5/2013,10:00
125110031703,,,1S-6W-7 / 45.4981 -123.4740,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,SCHETKY COUNTY A-2,100,110,,,0,0,,,0,11/7/2013,10:00
125110032301,,,3S-8W-12 / 45.3232 -123.6170,,,L,P,,NESTUCCA FORESTS LLC,,,,,,,,,CLARENCE CR MID,100,500,,,0,0,,,0,10/23/2012,08:00
125110032302,,,3S-9W-34 / 45.2659 -123.7740,,,L,P,,NESTUCCA FORESTS LLC,,,,,,,,,TONY CR PIT,99,500,,,0,0,,,0,10/24/2012,09:00
125110032303,,,5S-9W-28 / 45.1093 -123.7950,,,L,P,,NESTUCCA FORESTS LLC,,,,,,,,,DOLPH JUNCTION,61,320,,,0,0,,,0,10/23/2012,12:00
125110032304,,,4S-10W-27 / 45.1950 -123.8950,,,L,P,,NESTUCCA FORESTS LLC,,,,,,,,,CLOVERDALE PIT,40,280,,,0,0,,,0,10/29/2012,09:00
125110031704,,,2N-8W-13 / 45.6536 -123.6120,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,NW COMBO A-3,90,118,,,0,0,,,0,11/15/2012,11:00
125110033101,,,2S-7W-4 / 45.4254 -123.5550,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,DOWNTOWN A-1 & A-2,50,175,,,0,0,,,0,11/28/2012,10:00
125110033102,,,1S-7W-1 / 45.5133 -123.4960,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,CLEAR HEMBRE A-2,100,100,,,0,0,,,0,11/13/2012,10:00
125110041212,,,2S-7W-3 / 45.4257 -123.5350,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,DOWNTOWN A-3,2,85,,,0,0,,,0,11/28/2012,11:00
125110017001,,,2S-10W-10 / 45.4132 -123.8970,,,G,P,,STIMSON LUMBER,,,,,,,,,100 YELLOW JACKET,76,1000,,,0,0,,,0,1/8/2014,09:00
125110017002,,,2S-10W-10 / 45.4132 -123.8970,,,G,P,,STIMSON LUMBER,,,,,,,,,120 CARLTON,61,1410,,,0,0,,,0,1/8/2014,10:00
125110017003,,,3S-10W-4 / 45.3399 -123.9140,,,L,P,,STIMSON LUMBER,,,,,,,,,310 HOLD OUT,24,150,,,0,0,,,0,10/16/2012,14:00
125110017004,,,3S-10W-3 / 45.3400 -123.8950,,,G,P,,STIMSON LUMBER,,,,,,,,,310 OASIS,15,180,,,0,0,,,0,10/16/2012,15:00
125110017005,,,3S-10W-5 / 45.3401 -123.9340,,,L,P,,STIMSON LUMBER,,,,,,,,,1136 NANCY,77,440,,,0,0,,,0,11/28/2012,11:00
125110017006,,,2S-9W-13 / 45.3957 -123.7330,,,L,P,,STIMSON LUMBER,,,,,,,,,4000 ROADSIDE,53,200,,,0,0,,,0,10/15/2012,12:00
125110017007,,,2S-10W-27 / 45.3698 -123.8970,,,L,P,,STIMSON LUMBER,,,,,,,,,BC AVENGER,21,200,,,0,0,,,0,10/16/2012,12:00
125110017008,,,1S-10W-34 / 45.4418 -123.8970,,,G,P,,STIMSON LUMBER,,,,,,,,,BLACKTAIL,23,410,,,0,0,,,0,10/25/2012,10:00
125110017010,,,3S-10W-14 / 45.3103 -123.8740,,,L,P,,STIMSON LUMBER,,,,,,,,,COLD AC,60,370,,,0,0,,,0,10/18/2012,13:00
125110017011,,,2S-10W-20 / 45.3836 -123.9380,,,G,P,,STIMSON LUMBER,,,,,,,,,CORN WHISKEY,38,270,,,0,0,,,0,10/2/2012,12:00
125110017013,,,2S-8W-9 / 45.4084 -123.6710,,,L,P,,STIMSON LUMBER,,,,,,,,,GC 90,63,310,,,0,0,,,0,10/18/2012,11:00
125110017014,,,1S-8W-32 / 45.4362 -123.6920,,,L,P,,STIMSON LUMBER,,,,,,,,,GC FOOLS GOLD,59,250,,,0,0,,,0,10/24/2012,09:00
125110017015,,,2S-8W-8 / 45.4080 -123.6910,,,L,P,,STIMSON LUMBER,,,,,,,,,GOLD BUTTE,64,340,,,0,0,,,0,10/24/2012,11:00
125110017016,,,2S-9W-12 / 45.4097 -123.7330,,,L,P,,STIMSON LUMBER,,,,,,,,,LINEMAN,79,310,,,0,0,,,0,10/15/2012,13:00
125110017019,,,2N-1W-34 / 45.6131 -122.7950,,,G,P,,STIMSON LUMBER,,,,,,,,,PC MUSTANG,62,760,,,0,0,,,0,10/19/2012,13:00
125110017020,,,2N-1W-27 / 45.6275 -122.7950,,,L,P,,STIMSON LUMBER,,,,,,,,,PC OLD PAINT,58,210,,,0,0,,,0,10/19/2012,11:00
125110017021,,,2N-1W-34 / 45.6131 -122.7950,,,G,P,,STIMSON LUMBER,,,,,,,,,PC WILD HORSE,39,330,,,0,0,,,0,10/19/2012,12:00
125110017022,,,2S-8W-20 / 45.3778 -123.6900,,,L,P,,STIMSON LUMBER,,,,,,,,,ROADS END,93,460,,,0,0,,,0,10/26/2012,09:00
125110017023,,,3S-10W-12 / 45.3239 -123.8540,,,L,P,,STIMSON LUMBER,,,,,,,,,SAND TRAP,17,110,,,0,0,,,0,11/28/2012,10:00
125110017024,,,2S-8W-25 / 45.3661 -123.6160,,,G,P,,STIMSON LUMBER,,,,,,,,,SF MOTOCROSS,78,790,,,0,0,,,0,10/26/2012,11:00
125110017025,,,2S-9W-18 / 45.3979 -123.8350,,,G,P,,STIMSON LUMBER,,,,,,,,,SUTTON 40,80,645,,,0,0,,,0,10/17/2012,09:00
125110032702,,,3N-1W-5 / 45.7720 -122.8360,,,L,P,,LONGVIEW TIMBERLANDS,,,,,,,,,FC BOWL,46,460,,,0,0,,,0,10/24/2012,10:00
125110032708,,,3N-9W-17 / 45.7458 -123.8120,,,L,P,,LONGVIEW TIMBERLANDS,,,,,,,,,GC 551,52,520,,,0,0,,,0,10/24/2012,14:00
125110032709,,,3N-9W-17 / 45.7458 -123.8120,,,L,P,,LONGVIEW TIMBERLANDS,,,,,,,,,HANSEN ROAD,54,540,,,0,0,,,0,10/24/2012,14:00
125110032710,,,3N-1W-8 / 45.7574 -122.8360,,,L,P,,LONGVIEW TIMBERLANDS,,,,,,,,,JEPSEN CRASH,55,550,,,0,0,,,0,10/24/2012,11:00
125110032711,,,3N-1W-8 / 45.7574 -122.8360,,,L,P,,LONGVIEW TIMBERLANDS,,,,,,,,,OSWALD FLATS,58,580,,,0,0,,,0,10/24/2012,11:00
125110032712,,,3N-1W-17 / 45.7430 -122.8370,,,L,P,,LONGVIEW TIMBERLANDS,,,,,,,,,NECARNEY HOLE,27,270,,,0,0,,,0,10/24/2012,11:00
115110002601,,,2N-1W-16 / 45.6565 -122.8160,,,L,P,,ORM TIMBER OPERATING CO II LLC,,,,,,,,,HUSTLE,78,400,,,0,0,,,0,11/15/2013,10:00
115110014902,,,2N-1W-16 / 45.6565 -122.8160,,,L,P,,ORM TIMBER OPERATING CO II LLC,,,,,,,,,38 SPECIAL,53,400,,,0,0,,,0,10/8/2013,09:00
115110033301,,,1N-1W-8 / 45.5847 -122.8370,,,L,P,,ORM TIMBER OPERATING CO II LLC,,,,,,,,,NORA'S GEM,10,150,,,0,0,,,0,11/5/2013,11:00
125110006301,,,6S-10W-3 / 45.0808 -123.8940,,,L,P,,ORM TIMBER OPERATING CO II LLC,,,,,,,,,1633,96,500,,,0,0,,,0,11/6/2013,10:00
125110033901,,,1N-7W-11 / 45.5835 -123.5080,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,JACK FLASH A-1,10,100,,,0,0,,,0,10/16/2013,10:00
125110031717,,,1N-8W-2 / 45.5995 -123.6310,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,WESTERN FLICK A-1,60,60,,,0,0,,,0,1/23/2013,11:00
125110033103,,,2S-7W-23 / 45.3819 -123.5150,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,POTHOLE,100,110,,,0,0,,,0,1/17/2013,11:00
125110031705,,,1S-6W-18 / 45.4837 -123.4740,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,SCHETKY COUNTY A-1,118,195,,,0,0,,,0,11/7/2013,10:00
135110002401,,,3N-7W-20 / 45.7253 -123.5750,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,BRIX DEUCE,10,43,,,0,0,,,0,10/31/2013,13:00
135110002401,,,3N-7W-20 / 45.7253 -123.5750,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,BRIX DEUCE,10,43,,,0,0,,,0,10/31/2013,11:00
125110028501,,,2S-10W-2 / 45.4271 -123.8760,,,L,P,,,,,,,,,,,BENNETT,15,50,,,0,0,,,0,10/19/2013,09:00
115110034001,,,1N-1W-8 / 45.5847 -122.8370,,,L,P,,"ORM TIMBER OPERATING CO II, LLC",,,,,,,,,WATSECO PIT,68,350,,,0,0,,,0,11/5/2013,10:00
115110035901,,,2N-1W-32 / 45.6133 -122.8360,,,L,P,,"ORM TIMBER OPERATING CO II, LLC",,,,,,,,,3RD ST POWERLINES,47,350,,,0,0,,,0,11/7/2013,10:00
125110015001,,,1N-1W-16 / 45.5702 -122.8160,,,L,P,,"ORM TIMBER OPERATING CO II, LLC",,,,,,,,,BACKSIDE G,99,350,,,0,0,,,0,11/5/2013,09:00
125110015301,,,2N-1W-33 / 45.6132 -122.8160,,,L,P,,"ORM TIMBER OPERATING CO II, LLC",,,,,,,,,NIGHTQUIL,33,300,,,0,0,,,0,11/7/2013,09:00
125110015401,,,5S-10W-34 / 45.0947 -123.8940,,,L,P,,"ORM TIMBER OPERATING CO II, LLC",,,,,,,,,FRONT HEAVY,111,350,,,0,0,,,0,10/29/2014,09:00
135110030401,,,2N-1W-16 / 45.6565 -122.8160,,,L,P,,"ORM TIMBER OPERATING CO II, LLC",,,,,,,,,AIDENS BS,105,350,,,0,0,,,0,10/8/2013,09:00
135110020302,,,3N-8W-22 / 45.7255 -123.6500,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,BUCK SKYLARK A1,32,135,,,0,0,,,0,10/31/2013,11:00
135110020303,,,3N-8W-23 / 45.7254 -123.6300,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,BUCK SKYLARK A2,90,273,,,0,0,,,0,10/31/2013,11:00
135110020308,,,1N-8W-11 / 45.5857 -123.6320,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,WESTERN FLICK A-2,40,48,,,0,0,,,0,10/16/2013,09:00
135110020313,,,1S-7W-1 / 45.5133 -123.4960,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,SPAUR PHIPPS,100,159,,,0,0,,,0,11/19/2013,10:00
135110020321,,,3S-8W-21 / 45.2944 -123.6770,,,L,S,,DEPT OF FORESTRY: TILLAMOOK   ,,,,,,,,,EAST RANCH,65,92,,,0,0,,,0,10/22/2014,09:00
135110013201,,,2S-10W-22 / 45.3844 -123.8970,,,G,P,,STIMSON LUMBER,,,,,,,,,100 CHAMELEON,45,580,,,0,0,,,0,11/21/2013,14:00
135110013202,,,1S-10W-33 / 45.4421 -123.9170,,,G,P,,STIMSON LUMBER,,,,,,,,,240 VIEW LOTS,43,400,,,0,0,,,0,11/6/2013,10:00
135110013203,,,1S-10W-33 / 45.4421 -123.9170,,,G,P,,STIMSON LUMBER,,,,,,,,,604 ONE EYE,62,1070,,,0,0,,,0,11/26/2013,11:00
135110013204,,,2S-8W-20 / 45.3778 -123.6900,,,L,P,,STIMSON LUMBER,,,,,,,,,3070,68,460,,,0,0,,,0,12/17/2013,12:00
135110013205,,,2S-10W-29 / 45.3693 -123.9380,,,L,P,,STIMSON LUMBER,,,,,,,,,BLACK VELVET,49,510,,,0,0,,,0,11/1/2013,11:00
135110013206,,,2S-10W-21 / 45.3842 -123.9170,,,G,P,,STIMSON LUMBER,,,,,,,,,BOURBON,45,475,,,0,0,,,0,11/14/2013,13:00
135110013207,,,2S-9W-12 / 45.4097 -123.7330,,,L,P,,STIMSON LUMBER,,,,,,,,,CROWBAR,42,200,,,0,0,,,0,11/14/2013,12:00
135110013208,,,3S-10W-11 / 45.3248 -123.8740,,,G,P,,STIMSON LUMBER,,,,,,,,,DM20,42,675,,,0,0,,,0,10/2/2013,12:00
135110013210,,,2S-8W-17 / 45.3938 -123.6910,,,L,P,,STIMSON LUMBER,,,,,,,,,EB LOOKOUT,99,520,,,0,0,,,0,12/12/2013,10:00
135110013211,,,3N-9W-20 / 45.7305 -123.8120,,,L,P,,STIMSON LUMBER,,,,,,,,,ELK CAMP,75,480,,,0,0,,,0,11/5/2013,09:00
