Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Rogue-Siskiyou NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124061050001,,,32S-12W-3 / 42.8229 -124.1020,,,H,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-PRAIRIE-PILE,10,20,,,0,0,,,0,10/23/2012,12:00
134061050003,,,32S-11W-5 / 42.8219 -124.0130,,,T,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTACOALSADDLE-106 ,9,30,,,0,0,,,0,11/25/2013,11:00
134061050004,,,32S-11W-17 / 42.7891 -124.0130,,,T,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTACOALSADDLE-113 ,2,10,,,0,0,,,0,12/2/2013,10:00
134061050005,,,32S-11W-16 / 42.7891 -123.9940,,,G,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTACOALSADDLE-112 ,8,40,,,0,0,,,0,12/2/2013,12:00
134061050006,,,32S-11W-29 / 42.7604 -124.0130,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTACOALSADDLE-217 ,40,90,,,0,0,,,0,11/18/2013,10:00
134061050007,,,32S-11W-22 / 42.7748 -123.9740,,,T,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTACOALSADDLE-11  ,21,81,,,0,0,,,0,12/4/2013,10:00
134061050008,,,32S-11W-28 / 42.7605 -123.9940,,,G,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTACOALSADDLE-13  ,5,20,,,0,0,,,0,11/26/2013,10:00
134061050010,,,33S-11W-10 / 42.7344 -123.9860,,,H,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,HANGTHIRDROCKSTEW4  ,11,30,,,0,0,,,0,11/20/2013,10:00
134061050011,,,33S-11W-10 / 42.7344 -123.9860,,,T,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,HANGTHIRDROCKSTEW18 ,10,30,,,0,0,,,0,11/27/2013,11:00
144061050001,,,32S-11W-16 / 42.7891 -123.9940,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTA-COAL-SADDLE...,8,80,,,0,0,,,0,11/5/2014,11:00
144061050002,,,32S-11W-4 / 42.8217 -123.9940,,,T,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTA-COAL-SADDLE...,27,27,,,0,0,,,0,11/4/2014,11:00
144061050003,,,32S-11W-5 / 42.8219 -124.0130,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTA-COAL-SADDLE...,26,26,,,0,0,,,0,11/4/2014,12:00
144061050004,,,32S-11W-5 / 42.8219 -124.0130,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTA-COAL-SADDLE...,9,15,,,0,0,,,0,11/5/2014,13:00
144061050005,,,32S-11W-14 / 42.7891 -123.9550,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTA-COAL-SADDLE...,17,17,,,0,0,,,0,11/4/2014,13:00
144061050007,,,32S-11W-22 / 42.7748 -123.9740,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTA-COAL-SADDLE...,7,12,,,0,0,,,0,11/3/2014,11:00
144061050008,,,32S-11W-28 / 42.7605 -123.9940,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTA-COAL-SADDLE...,22,24,,,0,0,,,0,11/3/2014,13:00
144061050009,,,32S-11W-29 / 42.7604 -124.0130,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DELTA-COAL-SADDLE...,40,400,,,0,0,,,2,10/27/2015,10:00
144061050011,,,33S-11W-10 / 42.7344 -123.9860,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,HANG-THIRD-ROCK-U...,51,51,,,0,0,,,0,10/29/2014,11:00
144061050012,,,32S-11W-6 / 42.8222 -124.0330,,,T,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,MOORE-JOHNSON-UNIT-7,57,57,,,0,0,,,0,10/27/2014,13:00
144061050013,,,32S-12W-3 / 42.8229 -124.1020,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-THIN-UNIT-1 ,32,32,,,0,0,,,0,10/30/2014,11:00
144061050014,,,32S-12W-15 / 42.7909 -124.1010,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-THIN-UNIT-10,125,125,,,0,0,,,0,10/26/2014,13:00
144061050015,,,32S-12W-11 / 42.8053 -124.0710,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-THIN-UNIT-12,42,42,,,0,0,,,0,10/30/2014,13:00
154061050001,,,32S-12W-3 / 42.8229 -124.1020,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-THIN-UNIT2  ,13,130,,,0,0,,,1,10/26/2015,10:00
154061050002,,,32S-12W-3 / 42.8229 -124.1020,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-THIN-UNIT7  ,15,200,,,0,0,,,1,10/26/2015,10:00
154061050003,,,32S-12W-3 / 42.8229 -124.1020,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-THIN-UNIT10 ,125,1250,,,0,0,,,1,10/26/2015,10:00
154061050004,,,32S-12W-11 / 42.8053 -124.0710,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-THIN-UNIT12 ,40,400,,,0,0,,,1,10/27/2015,10:00
154061050005,,,32S-12W-11 / 42.8053 -124.0710,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,JOHNSON-THIN-UNIT12A,2,20,,,0,0,,,1,10/27/2015,10:00
154061050009,,,32S-11W-16 / 42.7891 -123.9940,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DCS-UNIT-116        ,42,420,,,0,0,,,1,10/27/2015,11:00
154061050010,,,32S-11W-29 / 42.7604 -124.0130,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DCS-UNIT-209        ,27,270,,,0,0,,,2,10/27/2015,11:00
154061050011,,,32S-11W-31 / 42.7466 -124.0320,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DCS-UNIT-210        ,18,180,,,0,0,,,2,10/27/2015,11:00
154061050012,,,32S-11W-31 / 42.7466 -124.0320,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,DCS-UNIT-214        ,20,200,,,0,0,,,2,10/27/2015,11:00
154061050019,,,33S-11W-14 / 42.7218 -123.9670,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,HANG-THIRD-ROCK-U...,51,51,,,0,0,,,7,10/12/2016,11:00
154061050019,,,33S-11W-14 / 42.7218 -123.9670,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,HANG-THIRD-ROCK-U...,51,51,,,0,0,,,7,10/12/2016,11:00
154061050021,,,32S-11W-35 / 42.7466 -123.9550,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,HANG-THIRD-ROCK-U...,53,53,,,0,0,,,7,10/12/2016,11:00
154061050021,,,32S-11W-35 / 42.7466 -123.9550,,,L,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,HANG-THIRD-ROCK-U...,53,53,,,0,0,,,7,10/12/2016,11:00
164061050002,,,320S-120W-27 / 42.7614 -124.0910,,,H,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,Sandy Bits Unit 14,50,24,,,0,0,,,0,11/8/2017,08:00
164061050003,,,320S-120W-26 / 42.7613 -124.0712,,,H,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,Sandy Bits Unit 6,9,5,,,0,0,,,0,11/10/2017,12:00
164061050005,,,320S-120W-20 / 42.7792 -124.1302,,,H,U,,ROGUE/SISKIYOU NF - POWERS,,,,,,,,,Sandy Bits Unit 11,14,7,,,0,0,,,0,11/7/2017,09:00
