Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Klamath-Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klamath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124062040001,,,40S-8E-30 / 42.0605 -121.9240,,,H,F,,KLAMATH BASIN NATIONAL WILDLIFE REF,,,,,,,,,BEAR-VALLEY-HAND-PIL,29,30,,,0,0,,,12,11/13/2012,09:00
124062040001,,,40S-8E-30 / 42.0605 -121.9240,,,H,F,,KLAMATH BASIN NATIONAL WILDLIFE REF,,,,,,,,,BEAR-VALLEY-HAND-PIL,10,10,,,0,0,,,0,1/24/2012,10:00
124060140001,,,38S-11E-26 / 42.2458 -121.3790,,,T,F,,BLM KLAMATH FALLS,,,,,,,,,BLY-MTN-PILES       ,200,1200,,,0,0,,,0,12/11/2012,10:00
124060140001,,,38S-11E-26 / 42.2458 -121.3790,,,T,F,,BLM KLAMATH FALLS,,,,,,,,,BLY-MTN-PILES       ,30,180,,,0,0,,,0,10/24/2012,10:00
129810006800,,,36S-11E-26 / 42.4200 -121.3795,,,H,S,,,,,,,,,,,,153,153,,,0,0,,,0,4/28/2012,08:00
129810000600,,,4S-1E-8 / 45.2380 -122.7126,,,H,S,,,,,,,,,,,,1,1,,,0,0,,,0,2/11/2012,08:00
129810015100,,,35S-11E-14 / 42.5360 -121.3788,,,H,S,,,,,,,,,,,,2,8,,,0,0,,,0,5/3/2012,08:00
129810029600,,,36S-6E-3 / 42.4670 -122.1011,,,H,S,,,,,,,,,,,,10,27,,,0,0,,,0,10/22/2012,07:00
129810030701,,,32S-7.5E-30 / 42.7700 -122.0453,,,G,S,,,,,,,,,,,,40,250,,,0,0,,,0,11/7/2012,08:00
119810018800,,,25S-7E-1 / 43.4360 -121.8333,,,L,S,,,,,,,,,,,AGUA,640,264,,,0,0,,,0,11/19/2012,09:00
124060140002,,,41S-6E-4 / 42.0320 -122.1200,,,N,F,,BLM KLAMATH FALLS,,,,,,,,,KLAM-RIV-CANY-UNIT-4,3,18,,,18,19,,,7,11/7/2012,11:00
124060140003,,,40S-14E-14 / 42.1003 -121.1450,,,T,F,,BLM KLAMATH FALLS,,,,,,,,,PINE-CREEKCOPELANDDH,400,400,,,0,0,,,0,12/3/2013,10:00
124060140004,,,41S-15E-8 / 42.0274 -120.9670,,,L,F,,BLM KLAMATH FALLS,,,,,,,,,ADOBE-BILL-EAST     ,300,300,,,0,0,,,0,12/3/2013,10:00
124060140009,,,38S-5E-3 / 42.2936 -122.2180,,,L,F,,BLM KLAMATH FALLS,,,,,,,,,COLD-CREEK          ,54,1620,,,0,0,,,1,11/20/2012,10:00
124060140010,,,39S-5E-31 / 42.1344 -122.2780,,,L,F,,BLM KLAMATH FALLS,,,,,,,,,THIN-SHEEP          ,33,990,,,0,0,,,30,11/19/2012,09:00
124062040002,,,40S-8E-32 / 42.0458 -121.9040,,,H,F,,KLAMATH BASIN NATIONAL WILDLIFE REF,,,,,,,,,BEAR-VALLEY-HAND-PIL,1,1,,,0,0,,,2,12/18/2012,10:00
124062040002,,,40S-8E-32 / 42.0458 -121.9040,,,H,F,,KLAMATH BASIN NATIONAL WILDLIFE REF,,,,,,,,,BEAR-VALLEY-HAND-PIL,1,1,,,0,0,,,1,12/17/2012,10:00
124062040002,,,40S-8E-32 / 42.0458 -121.9040,,,H,F,,KLAMATH BASIN NATIONAL WILDLIFE REF,,,,,,,,,BEAR-VALLEY-HAND-PIL,1,1,,,0,0,,,0,12/20/2012,09:00
124062040002,,,40S-8E-32 / 42.0458 -121.9040,,,H,F,,KLAMATH BASIN NATIONAL WILDLIFE REF,,,,,,,,,BEAR-VALLEY-HAND-PIL,3,3,,,0,0,,,2,12/13/2012,09:00
119820011800,,,41S-15E-2 / 42.0420 -120.9092,,,L,S,,,,,,,,,,,NEILSON,5,300,,,0,0,,,0,11/17/2013,10:00
129810030700,,,37S-12E-30 / 42.3330 -121.3408,,,G,S,,,,,,,,,,,,85,260,,,0,0,,,0,11/5/2014,08:00
129810030700,,,37S-12E-30 / 42.3330 -121.3408,,,G,S,,,,,,,,,,,,6,40,,,0,0,,,0,11/4/2013,09:00
129820016600,,,34S-13E-9 / 42.6380 -121.1827,,,T,S,,,,,,,,,,,MURRAY,15,600,,,0,0,,,0,11/19/2013,09:00
124060140014,,,38S-11E-14 / 42.2748 -121.3790,,,L,F,,BLM KLAMATH FALLS,,,,,,,,,BLY-MTN-LANDING-PILE,20,320,,,0,0,,,0,10/23/2014,12:00
124060140014,,,38S-11E-14 / 42.2748 -121.3790,,,L,F,,BLM KLAMATH FALLS,,,,,,,,,BLY-MTN-LANDING-PILE,17,272,,,0,0,,,30,11/13/2014,09:00
129810021400,,,4S-12E-23 / 45.2080 -121.2669,,,H,S,,,,,,,,,,,RICHARD SACCHI,3,90,,,0,0,,,0,3/15/2013,13:00
