Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Astoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clatsop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2521E+11,,,7N-7W-34 / 46.0471 -123.5360,,,R,P,,AGENCY CREEK MANAGEMENT,,,,,,,,,KALINA PIT,3,200,,,0,0,,,0,4/2/2012,9:00
1.1521E+11,,,6N-1W-36 / 43.0001 -123.0001,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,NEC 60-317,40,800,,,0,0,,,0,10/30/2012,10:00
1.1521E+11,,,4N-9W-6 / 45.8607 -123.8330,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,BUCHANON,25,500,,,0,0,,,0,10/26/2012,12:00
1.1521E+11,,,5N-9W-20 / 45.9022 -123.8250,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,SUGARLOAF 14,75,1500,,,0,0,,,0,10/27/2012,8:00
1.1521E+11,,,7N-9W-21 / 46.0755 -123.8080,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,ACT 2 / DRAKE SPUR,10,200,,,0,0,,,0,10/27/2012,14:00
1.1521E+11,,,5N-9W-28 / 45.8880 -123.8040,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,SUMMIT 31,35,700,,,0,0,,,0,10/27/2012,10:00
1.1521E+11,,,7N-8W-30 / 46.0614 -123.7260,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,RYANS 12 KLASKIS,16,320,,,0,0,,,0,10/27/2012,10:00
1.1521E+11,,,7N-9W-29 / 46.0610 -123.8270,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,400 L.O.,90,1800,,,0,0,,,0,10/26/2012,10:00
1.1521E+11,,,5N-9W-23 / 45.9033 -123.7620,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,BOONES SUMMIT,35,700,,,0,0,,,0,10/30/2012,12:00
1.2521E+11,,,4N-1W-9 / 45.8445 -122.8150,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,HIDDEN CRUSHER,11,225,,,0,0,,,0,10/25/2012,8:00
1.2521E+11,,,6N-7W-4 / 46.0311 -123.5550,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,OLD KALINA,20,400,,,0,0,,,0,10/26/2012,10:00
1.2521E+11,,,6N-7W-4 / 46.0311 -123.5550,,,G,P,,THE CAMPBELL GROUP,,,,,,,,,TIP OF THE ELK TINE,60,1200,,,0,0,,,0,10/26/2012,8:00
1.2521E+11,,,5N-9W-8 / 45.9309 -123.8240,,,L,P,,THE CAMPBELL GROUP,,,,,,,,,CLATSOP FIR WATERFALL,40,800,,,0,0,,,0,10/30/2012,14:00
