Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Umpqua NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deschutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194061520008,,,31S-1W-15 / 42.8798 -122.8130,,,G,U,,UMPQUA NF - TILLER RD,,,,,,,,,Benny 31,25,40,,,0,0,,,0,12/16/2019,10:00
County Total:,,,,,,,,,,,,,,,,,,,25,40,,,,,,,,,
Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124061530001,,,26S-3E-33 / 43.2637 -122.4690,,,G,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,GIANT-CHINQUAPIN-PIL,1,7,,,0,0,,,0,3/20/2012,11:00
124061530001,,,26S-3E-33 / 43.2637 -122.4690,,,G,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,GIANT-CHINQUAPIN-PIL,1,4,,,0,0,,,0,3/5/2012,09:00
121537022001,,,27S-3E-25 / 43.1910 -122.4100,,,U,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,ROYAL-12            ,15,285,,,10,25,,,16,5/20/2012,11:00
121564430601,,,27S-1W-15 / 43.2194 -122.8050,,,U,U,,UMPQUA NF - NORTH UMPQUA RD,,,,,,,,,TAFT-UNIT-17        ,24,528,,,10,15,,,7,6/1/2012,12:00
124061560001,,,26S-2E-6 / 43.3363 -122.6280,,,N,U,,UMPQUA NF - NORTH UMPQUA RD,,,,,,,,,EAST-RAGGED-RX      ,1,27,,,11,16,,,23,10/23/2013,12:00
124061520001,,,31S-2W-5 / 42.9091 -122.9720,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,KINCAID-LUPINE      ,5,8,,,0,0,,,0,11/6/2013,09:00
124061520002,,,31S-1W-17 / 42.8800 -122.8530,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,DREW-STEWARDSHIP-10 ,20,390,,,0,0,,,0,11/7/2012,10:00
124061520003,,,29S-1W-24 / 43.0408 -122.7700,,,L,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-01           ,19,75,,,0,0,,,0,11/27/2012,10:00
124061520004,,,29S-1W-24 / 43.0408 -122.7700,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-01A          ,10,220,,,0,0,,,0,11/9/2012,09:00
124061520005,,,29S-1W-24 / 43.0408 -122.7700,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-02           ,10,30,,,0,0,,,0,11/9/2012,09:00
124061520006,,,29S-1W-24 / 43.0408 -122.7700,,,L,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-02A          ,7,50,,,0,0,,,0,11/27/2012,12:00
124061520007,,,29S-1W-24 / 43.0408 -122.7700,,,L,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-04           ,3,25,,,0,0,,,5,11/25/2013,10:00
124061520008,,,29S-1E-19 / 43.0329 -122.7470,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-05           ,41,260,,,0,0,,,0,11/14/2012,09:00
124061520009,,,29S-1E-30 / 43.0184 -122.7470,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-09           ,14,124,,,0,0,,,0,11/15/2012,09:00
124061520010,,,29S-1E-30 / 43.0184 -122.7470,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-11           ,36,175,,,0,0,,,0,11/14/2012,13:00
124061520011,,,29S-1W-25 / 43.0262 -122.7700,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-12           ,33,333,,,0,0,,,0,11/13/2012,09:00
124061520012,,,29S-1W-25 / 43.0262 -122.7700,,,L,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-13           ,12,100,,,0,0,,,5,11/25/2013,11:00
124061520013,,,29S-1W-36 / 43.0118 -122.7700,,,L,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-14           ,6,15,,,0,0,,,5,11/25/2013,11:00
124061520014,,,29S-1W-36 / 43.0118 -122.7700,,,L,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-15           ,4,25,,,0,0,,,5,11/25/2013,12:00
124061520015,,,29S-1W-36 / 43.0118 -122.7700,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-16           ,15,75,,,0,0,,,0,11/25/2013,12:00
124061520016,,,29S-1W-25 / 43.0262 -122.7700,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-25           ,35,200,,,0,0,,,0,11/26/2012,09:00
124061520016,,,29S-1W-25 / 43.0262 -122.7700,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-25           ,25,100,,,0,0,,,0,11/9/2012,13:00
124061520017,,,29S-1W-36 / 43.0118 -122.7700,,,L,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-26           ,80,270,,,0,0,,,0,11/27/2012,09:00
124061520018,,,29S-1W-36 / 43.0118 -122.7700,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-28           ,23,180,,,0,0,,,0,11/27/2012,10:00
124061520019,,,29S-1W-35 / 43.0118 -122.7940,,,G,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-29           ,45,300,,,0,0,,,0,11/27/2012,12:00
124061520020,,,29S-1W-35 / 43.0118 -122.7940,,,L,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-30           ,28,150,,,0,0,,,0,11/27/2012,12:00
124061520021,,,29S-1W-11 / 43.0698 -122.7940,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-35           ,9,24,,,0,0,,,0,11/19/2012,09:00
124061520022,,,29S-1W-11 / 43.0698 -122.7940,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-36           ,42,195,,,0,0,,,0,11/19/2012,12:00
124061520023,,,29S-1W-24 / 43.0408 -122.7700,,,G,U,,UMPQUA NF - TILLER RD,,,,,,,,,CURTIS-48           ,3,10,,,0,0,,,0,11/15/2012,12:00
124061520024,,,30S-1W-5 / 42.9974 -122.8530,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,JOHNNY-SPRINGS-DEFEN,65,65,,,0,0,,,0,11/18/2013,10:00
124061520025,,,30S-1W-5 / 42.9974 -122.8530,,,H,U,,UMPQUA NF - TILLER RD,,,,,,,,,LANCASTER-DEFENSIBLE,30,30,,,0,0,,,0,11/25/2013,08:00
124061520030,,,30S-2E-32 / 42.9179 -122.6100,,,N,U,,UMPQUA NF - TILLER RD,,,,,,,,,DONEGAN-PRAIRIE     ,10,250,,,0,0,,,0,5/20/2014,10:00
124061530002,,,26S-4E-10 / 43.3214 -122.3320,,,N,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,THORN-PRAIRIE       ,55,1155,,,13,20,,,10,4/27/2013,12:00
124061530003,,,26S-5E-12 / 43.3214 -122.1770,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,BUNKER-HILL-RECOVERY,135,972,,,0,0,,,0,10/31/2012,10:00
124061530004,,,26S-5E-13 / 43.3070 -122.1770,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,LEMOLO-LOOP-RECOVERY,20,312,,,0,0,,,0,10/31/2012,07:00
124061530004,,,26S-5E-13 / 43.3070 -122.1770,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,LEMOLO-LOOP-RECOVERY,126,1971,,,0,0,,,0,10/30/2012,10:00
124061530005,,,27S-6E-31 / 43.1825 -122.1510,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DIAMOND-LAKE-RECOVER,46,607,,,0,0,,,0,2/13/2014,09:00
124061530005,,,27S-6E-31 / 43.1825 -122.1510,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DIAMOND-LAKE-RECOVER,6,81,,,0,0,,,0,11/16/2012,07:00
124061530005,,,27S-6E-31 / 43.1825 -122.1510,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DIAMOND-LAKE-RECOVER,15,202,,,0,0,,,0,11/5/2013,08:00
124061530005,,,27S-6E-31 / 43.1825 -122.1510,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DIAMOND-LAKE-RECOVER,110,1485,,,0,0,,,0,11/15/2012,09:00
124061530005,,,27S-6E-31 / 43.1825 -122.1510,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DIAMOND-LAKE-RECOVER,60,887,,,0,0,,,0,11/4/2013,09:00
124061530006,,,26S-5E-14 / 43.3070 -122.1960,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,POOLE-CR-RECOVERY-3 ,59,956,,,0,0,,,0,11/2/2012,12:00
124061530007,,,26S-5E-23 / 43.2925 -122.1960,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,BIRDS-PT-RECOVERY-3 ,6,97,,,0,0,,,0,11/1/2012,11:00
124061530007,,,26S-5E-23 / 43.2925 -122.1960,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,BIRDS-PT-RECOVERY-3 ,100,1620,,,0,0,,,0,11/14/2012,08:00
124061530007,,,26S-5E-23 / 43.2925 -122.1960,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,BIRDS-PT-RECOVERY-3 ,50,810,,,0,0,,,0,11/13/2012,09:00
124061530007,,,26S-5E-23 / 43.2925 -122.1960,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,BIRDS-PT-RECOVERY-3 ,70,1134,,,0,0,,,0,11/15/2012,07:00
124061530007,,,26S-5E-23 / 43.2925 -122.1960,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,BIRDS-PT-RECOVERY-3 ,21,340,,,0,0,,,0,11/16/2012,07:00
124061530009,,,27S-6E-30 / 43.1916 -122.1570,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DIAMOND-LAKE-HF-2   ,3,40,,,0,0,,,0,11/8/2012,09:00
124061530010,,,26S-6E-10 / 43.3214 -122.0970,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,CINN-RAWS           ,1,4,,,0,0,,,0,11/2/2012,13:00
124061530011,,,26S-6E-20 / 43.2925 -122.1360,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DBUG-HF-2           ,2,9,,,0,0,,,0,11/2/2012,13:00
124061530011,,,26S-6E-20 / 43.2925 -122.1360,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DBUG-HF-2           ,1,5,,,0,0,,,0,11/18/2013,09:00
124061530011,,,26S-6E-20 / 43.2925 -122.1360,,,H,U,,UMPQUA NF - DIAMOND LAKE RD,,,,,,,,,DBUG-HF-2           ,2,9,,,0,0,,,0,11/7/2012,09:00
121565818801,,,25S-2E-10 / 43.4152 -122.5580,,,G,U,,UMPQUA NF - NORTH UMPQUA RD,,,,,,,,,CANOE-15-PILES      ,11,20,,,0,0,,,0,10/24/2012,10:00
121565818802,,,25S-2E-10 / 43.4152 -122.5580,,,H,U,,UMPQUA NF - NORTH UMPQUA RD,,,,,,,,,CANOE-16-PILES      ,11,20,,,0,0,,,0,10/24/2012,12:00
121565818803,,,25S-2E-3 / 43.4313 -122.5580,,,H,U,,UMPQUA NF - NORTH UMPQUA RD,,,,,,,,,CANOE-20-PILES      ,17,24,,,0,0,,,0,10/30/2012,14:00
121565818804,,,250S-020E-16 / 43.4004 -122.5783,,,H,U,,UMPQUA NF - NORTH UMPQUA RD,,,,,,,,,Canoe 12 piles,16,30,,,0,0,,,0,10/29/2014,10:30
