Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Winema NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klamath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124062030003,,,36S-6E-23 / 42.4240 -122.0820,,,F,U,,WINEMA NF - KLAMATH RD,,,,,,,,,RACCOON-213         ,36,540,,,5,25,,,7,4/25/2013,11:00
124062030004,,,36S-6E-24 / 42.4241 -122.0620,,,F,U,,WINEMA NF - KLAMATH RD,,,,,,,,,RACCOON-202         ,29,377,,,6,30,,,6,5/9/2012,10:00
124062030005,,,36S-6E-20 / 42.4237 -122.1400,,,F,U,,WINEMA NF - KLAMATH RD,,,,,,,,,TOMAHAWK-15A        ,33,660,,,5,28,,,7,5/10/2012,10:00
124062030005,,,36S-6E-20 / 42.4237 -122.1400,,,F,U,,WINEMA NF - KLAMATH RD,,,,,,,,,TOMAHAWK-15A        ,50,500,,,6,25,,,10,5/15/2012,09:00
124062010001,,,30S-7E-19 / 42.9582 -121.9340,,,U,U,,WINEMA NF - CHEMULT RD,,,,,,,,,STING-RX            ,120,1080,,,30,20,,,0,4/15/2014,10:00
124062010001,,,30S-7E-19 / 42.9582 -121.9340,,,U,U,,WINEMA NF - CHEMULT RD,,,,,,,,,STING-RX            ,68,612,,,28,20,,,0,4/16/2014,10:00
124062010001,,,30S-7E-19 / 42.9582 -121.9340,,,U,U,,WINEMA NF - CHEMULT RD,,,,,,,,,STING-RX            ,105,945,,,28,20,,,0,4/12/2014,10:00
124062010001,,,30S-7E-19 / 42.9582 -121.9340,,,U,U,,WINEMA NF - CHEMULT RD,,,,,,,,,STING-RX            ,77,693,,,30,20,,,0,4/14/2014,10:00
124062010001,,,30S-7E-19 / 42.9582 -121.9340,,,U,U,,WINEMA NF - CHEMULT RD,,,,,,,,,STING-RX            ,200,1800,,,30,20,,,0,4/11/2014,11:00
124062020003,,,32S-8E-25 / 42.7694 -121.7110,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,APPLE-1             ,11,30,,,0,0,,,6,11/26/2012,10:00
124062020004,,,32S-8E-36 / 42.7549 -121.7110,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,APPLE-2             ,15,30,,,0,0,,,6,11/26/2012,10:00
124062030006,,,36s-6E-19 / 42.4238 -122.1590,,,H,U,,WINEMA NF - KLAMATH RD,,,,,,,,,TOMAHAWK-14-PILES   ,36,200,,,0,0,,,0,10/22/2012,11:00
124062030007,,,36S-6E-21 / 42.4238 -122.1200,,,H,U,,WINEMA NF - KLAMATH RD,,,,,,,,,TOMAHAWK-12-PILES   ,12,100,,,0,0,,,0,10/23/2012,11:00
124062030008,,,36S-6E-21 / 42.4238 -122.1200,,,H,U,,WINEMA NF - KLAMATH RD,,,,,,,,,TOMAHAWK-11-PILES   ,14,75,,,0,0,,,0,10/24/2012,11:00
124062030009,,,36S-6E-21 / 42.4238 -122.1200,,,T,U,,WINEMA NF - KLAMATH RD,,,,,,,,,TOMAHAWK-9-PILES    ,10,100,,,0,0,,,0,10/24/2012,11:00
124062010004,,,28S-10E-2 / 43.1740 -121.4980,,,H,U,,WINEMA NF - CHEMULT RD,,,,,,,,,CLEARY              ,47,300,,,0,0,,,0,10/29/2012,10:00
124062010004,,,28S-10E-2 / 43.1740 -121.4980,,,H,U,,WINEMA NF - CHEMULT RD,,,,,,,,,CLEARY              ,31,180,,,0,0,,,0,10/25/2012,12:00
124062010006,,,27S-10E-32 / 43.1888 -121.5580,,,H,U,,WINEMA NF - CHEMULT RD,,,,,,,,,DAVIS-FLAT          ,33,198,,,0,0,,,0,10/25/2012,10:00
124062010011,,,30S-7E-18 / 42.9726 -121.9340,,,H,U,,WINEMA NF - CHEMULT RD,,,,,,,,,THREE-BUTTES        ,90,1014,,,0,0,,,0,11/13/2012,09:00
124062030010,,,37S-5E-15 / 42.3490 -122.2200,,,H,U,,WINEMA NF - KLAMATH RD,,,,,,,,,LOW-HANDPILES       ,5,50,,,0,0,,,0,10/25/2012,14:00
124062010012,,,31S-7E-18 / 42.8862 -121.9270,,,H,U,,WINEMA NF - CHEMULT RD,,,,,,,,,STING-75-HP         ,31,186,,,0,0,,,0,11/1/2012,12:00
124062010012,,,31S-7E-18 / 42.8862 -121.9270,,,H,U,,WINEMA NF - CHEMULT RD,,,,,,,,,STING-75-HP         ,50,300,,,0,0,,,0,10/28/2012,11:00
124062020005,,,33S-8E-12 / 42.7260 -121.7110,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,APPLE-12            ,25,25,,,0,0,,,6,11/26/2012,11:00
124062020006,,,33S-8E-12 / 42.7260 -121.7110,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,APPLE-13            ,15,20,,,0,0,,,6,11/26/2012,11:00
124062020007,,,33S-9E-19 / 42.6969 -121.6910,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,APPLE-21            ,20,60,,,0,0,,,3,11/19/2012,10:00
124062020008,,,33S-8E-12 / 42.7260 -121.7110,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,APPLE-23            ,25,25,,,0,0,,,6,11/26/2012,11:00
124062020009,,,33S-8E-12 / 42.7260 -121.7110,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,APPLE-24            ,18,18,,,0,0,,,3,12/6/2012,13:00
124062020010,,,33S-8E-3 / 42.7405 -121.7500,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,SLAB-1              ,10,20,,,0,0,,,3,11/19/2012,11:00
124062020011,,,32S-8E-30 / 42.7695 -121.8090,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,SLAB-2              ,25,60,,,0,0,,,6,11/26/2012,10:00
124062020012,,,32S-8E-26 / 42.7693 -121.7310,,,T,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,SLAB-4              ,10,20,,,0,0,,,6,11/26/2012,10:00
124062020013,,,33S-9E-6 / 42.7405 -121.6910,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,POME-17             ,40,50,,,0,0,,,6,11/26/2012,10:00
124062020014,,,33S-9E-7 / 42.7259 -121.6910,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,POME-18             ,40,100,,,0,0,,,6,11/26/2012,10:00
124062020015,,,33S-9E-7 / 42.7259 -121.6910,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,POME-20             ,6,9,,,0,0,,,6,11/26/2012,10:00
124062020016,,,33S-9E-6 / 42.7405 -121.6910,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,MILLHOUSE-37        ,45,45,,,0,0,,,6,11/26/2012,10:00
124062020017,,,34S-7E-25 / 42.5954 -121.8280,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,PINE-RIDGE-SALVAGE-1,110,110,,,0,0,,,9,12/12/2012,11:00
124062020018,,,34S-7E-26 / 42.5953 -121.8480,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,PINE-RIDGE-SALVAGE-2,25,30,,,0,0,,,9,12/12/2012,12:00
124062020019,,,34S-7E-25 / 42.5954 -121.8280,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,PINE-RIDGE-SALVAGE-3,5,10,,,0,0,,,9,12/12/2013,12:00
124062020020,,,33S-7E-1 / 42.7410 -121.8290,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,KIRKSIDING-SALVAGE  ,25,100,,,0,0,,,2,12/21/2012,10:00
124062020021,,,35S-9E-6 / 42.5667 -121.6920,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,MAHOGANY-57         ,60,240,,,0,0,,,2,12/21/2012,10:00
124062020022,,,34S-9E-32 / 42.5811 -121.6720,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,MAHOGANY-58         ,25,120,,,0,0,,,2,12/21/2012,11:00
124062020023,,,34S-9E-20 / 42.6101 -121.6720,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,MAHOGANY-60         ,70,200,,,0,0,,,2,12/21/2012,11:00
124062020024,,,35S-9E-3 / 42.5665 -121.6330,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,MAHOGANY-61         ,100,175,,,0,0,,,2,12/21/2012,11:00
124062020025,,,35S-9E-3 / 42.5665 -121.6330,,,L,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,MAHOGANY-62         ,30,120,,,0,0,,,2,12/21/2012,12:00
124062010013,,,26S-10E-28 / 43.2902 -121.5380,,,H,U,,WINEMA NF - CHEMULT RD,,,,,,,,,SPROATS-1-MP        ,5,30,,,0,0,,,0,11/1/2012,11:00
124062020027,,,35S-8E-22 / 42.5234 -121.7500,,,N,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,NINEMILE-NF-31      ,10,50,,,15,24,,,5,11/7/2012,11:00
124062020028,,,35S-8E-27 / 42.5089 -121.7510,,,N,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,NINEMILE-NF-32      ,5,25,,,14,18,,,29,10/30/2013,11:00
134062020002,,,34S-9E-32 / 42.5811 -121.6720,,,N,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,NINEMILE-NF-36      ,125,750,,,10,20,,,12,4/27/2013,12:00
134062020003,,,35S-9E-5 / 42.5666 -121.6720,,,N,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,NINEMILE-NF-38      ,100,500,,,8,19,,,11,4/26/2013,10:00
134062030001,,,36S-6E-24 / 42.4241 -122.0620,,,N,U,,WINEMA NF - KLAMATH RD,,,,,,,,,RACCOON-207         ,35,735,,,5,14,,,39,4/28/2015,11:00
134062030002,,,36S-6E-19 / 42.4238 -122.1590,,,N,U,,WINEMA NF - KLAMATH RD,,,,,,,,,TOMAHAWK-14         ,36,792,,,6,25,,,7,4/26/2013,11:00
134062030005,,,36S-6E-25 / 42.4096 -122.0620,,,F,U,,WINEMA NF - KLAMATH RD,,,,,,,,,RACCOON-210         ,65,975,,,6,25,,,14,5/2/2013,11:00
134062020004,,,34S-8E-28 / 42.5957 -121.7700,,,N,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,NINEMILE-NF-3       ,120,1800,,,14,14,,,6,10/22/2015,11:00
134062020004,,,34S-8E-28 / 42.5957 -121.7700,,,N,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,NINEMILE-NF-3       ,35,525,,,17,15,,,5,10/21/2015,10:00
134062020006,,,34S-8E-29 / 42.5955 -121.7890,,,N,U,,WINEMA NF - CHILOQUIN RD,,,,,,,,,NINEMILE-NF-7       ,108,1512,,,10,18,,,7,4/30/2014,10:00
